,noFear_noChat_avg_fitness,noFear_noChat_cat_avg_fitness,noFear_noChat_count,noFear_noChat_keep,noFear_noChat_give,noFear_noChat_steal,noFear_chat_avg_fitness,noFear_chat_cat_avg_fitness,noFear_chat_count,noFear_chat_keep,noFear_chat_give,noFear_chat_steal,fear_noChat_avg_fitness,fear_noChat_cat_avg_fitness,fear_noChat_count,fear_noChat_keep,fear_noChat_give,fear_noChat_steal,fear_chat_avg_fitness,fear_chat_cat_avg_fitness,fear_chat_count,fear_chat_keep,fear_chat_give,fear_chat_steal,homogeneous_noFear_noChat_avg_fitness,homogeneous_noFear_noChat_cat_avg_fitness,homogeneous_noFear_noChat_count,homogeneous_noFear_noChat_keep,homogeneous_noFear_noChat_give,homogeneous_noFear_noChat_steal,homogeneous_noFear_chat_avg_fitness,homogeneous_noFear_chat_cat_avg_fitness,homogeneous_noFear_chat_count,homogeneous_noFear_chat_keep,homogeneous_noFear_chat_give,homogeneous_noFear_chat_steal,homogeneous_fear_noChat_avg_fitness,homogeneous_fear_noChat_cat_avg_fitness,homogeneous_fear_noChat_count,homogeneous_fear_noChat_keep,homogeneous_fear_noChat_give,homogeneous_fear_noChat_steal,homogeneous_fear_chat_avg_fitness,homogeneous_fear_chat_cat_avg_fitness,homogeneous_fear_chat_count,homogeneous_fear_chat_keep,homogeneous_fear_chat_give,homogeneous_fear_chat_steal,mixed_noFear_noChat_avg_fitness,mixed_noFear_noChat_cat_avg_fitness,mixed_noFear_noChat_count,mixed_noFear_noChat_keep,mixed_noFear_noChat_give,mixed_noFear_noChat_steal,mixed_noFear_chat_avg_fitness,mixed_noFear_chat_cat_avg_fitness,mixed_noFear_chat_count,mixed_noFear_chat_keep,mixed_noFear_chat_give,mixed_noFear_chat_steal,mixed_fear_noChat_avg_fitness,mixed_fear_noChat_cat_avg_fitness,mixed_fear_noChat_count,mixed_fear_noChat_keep,mixed_fear_noChat_give,mixed_fear_noChat_steal,mixed_fear_chat_avg_fitness,mixed_fear_chat_cat_avg_fitness,mixed_fear_chat_count,mixed_fear_chat_keep,mixed_fear_chat_give,mixed_fear_chat_steal
0,44.454596891067126,0.175415045155935,1.0,0.93625,0.06375,-0.0,9.133020361157834,1.110223024625156e-16,1.0,0.6535,0.3465,-0.0,22.61143215462035,0.15373175721889001,1.0,0.820125,0.179875,-0.0,26.517160152593107,0.21036971646276,1.0,0.632125,0.367875,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,65.88096926377682,0.0,1.0,0.447625,0.552375,-0.0,54.60449063489264,5.551115123125783e-17,1.0,0.619125,0.380875,-0.0,85.65424352926149,0.0,1.0,0.40275,0.59725,-0.0,48.72038441686572,0.0,1.0,0.35475,0.64525,-0.0
1,62.47954417062636,0.170424267566537,1.0,0.975375,0.024625,-0.0,9.259304067122825,2.220446049250313e-16,1.0,0.3545,0.6425,0.003,30.14297202836429,0.015730875388788,1.0,0.8405,0.1595,-0.0,88.77139979303311,0.28915896869997904,1.0,0.39525,0.598125,0.006625,,,,,,,,,,,,,,,,,,,,,,,,,74.24082058705866,5.551115123125783e-17,1.0,0.209875,0.790125,-0.0,58.61599170027051,0.011274079259808,1.0,0.219625,0.780375,-0.0,88.78541016267882,0.0,1.0,0.16125,0.83875,-0.0,52.83616042540429,2.775557561562891e-17,1.0,0.13775,0.848875,0.013375
2,65.74293840171228,0.18481590051373,1.0,0.9815,0.017625,0.000875,10.673240330687916,1.110223024625156e-16,1.0,0.608,0.348375,0.043625,45.90021455519504,0.0,1.0,0.8355,0.129625,0.034875,95.4080573054944,0.0,1.0,0.646875,0.1635,0.189625,,,,,,,,,,,,,,,,,,,,,,,,,86.10274997493038,2.059463710679665e-14,1.0,0.29275,0.451,0.25625,61.26122371128022,5.828670879282072e-16,1.0,0.55425,0.26625,0.1795,92.35375652202622,0.0,1.0,0.60975,0.160375,0.229875,55.53129187098826,0.0,1.0,0.3465,0.463875,0.189625
3,67.69067032253326,0.18003523263776403,1.0,0.985125,0.014875,-0.0,14.21068615014001,0.0,1.0,0.560875,0.40625,0.032875,51.44174406747752,0.0,1.0,0.869375,0.10775,0.022875,106.92502169582406,0.0,1.0,0.617,0.221375,0.161625,,,,,,,,,,,,,,,,,,,,,,,,,87.59833758343254,3.025357742103551e-15,1.0,0.287375,0.471125,0.2415,78.17729387753297,0.0,1.0,0.5295,0.288625,0.181875,96.58116217289268,5.551115123125783e-17,1.0,0.476625,0.39025,0.133125,72.8280964979011,0.000655330531637,1.0,0.397375,0.454125,0.1485
4,69.95403135086798,0.18382458453056502,1.0,0.97875,0.01475,0.0065,16.274850826416642,0.0,1.0,0.576125,0.364375,0.0595,52.50896773380524,0.0,1.0,0.863,0.108125,0.028875,112.38863110190032,1.6653345369377338e-16,1.0,0.628125,0.30125,0.070625,,,,,,,,,,,,,,,,,,,,,,,,,95.14613963992416,0.0,1.0,0.321375,0.58875,0.089875,114.06874017005008,1.6653345369377338e-16,1.0,0.551125,0.347,0.101875,101.34710300342748,0.010330456864888002,1.0,0.54325,0.359625,0.097125,74.20467296545472,0.013626050167061001,1.0,0.4075,0.502625,0.089875
5,73.20210904624015,0.17246195765347402,1.0,0.984625,0.01325,0.002125,20.36912431710821,5.551115123125783e-16,1.0,0.60925,0.34625,0.0445,59.35362236149432,0.0,1.0,0.862,0.11325,0.02475,112.4292010010075,0.0,1.0,0.587125,0.354375,0.0585,,,,,,,,,,,,,,,,,,,,,,,,,111.03291988362945,1.110223024625156e-16,1.0,0.29375,0.6295,0.07675,114.17742421444623,0.000598561052229,,0.51025,0.40725,0.0825,109.9258761350217,5.551115123125783e-17,1.0,0.493125,0.44275,0.064125,77.76669964207511,0.0,1.0,0.449,0.486625,0.064375
6,74.36894009483213,1.387778780781445e-17,1.0,0.980125,0.01225,0.007625,24.33757176557917,1.6653345369377338e-16,,0.61575,0.35225,0.032,62.2840508283795,0.120881611908318,,0.844625,0.107375,0.048,129.41602774300148,4.994656659860478,1.0,0.55525,0.407875,0.036875,,,,,,,,,,,,,,,,,,,,,,,,,117.5999774463973,0.9325324254542271,,0.274375,0.66,0.065625,116.12015664627468,3.227286303401563,,0.472875,0.48475,0.042375,118.57750133954389,5.551115123125783e-17,1.0,0.45625,0.50425,0.0395,82.07321236012164,5.551115123125783e-16,,0.4325,0.51125,0.05625
7,75.95004263760174,2.775557561562891e-17,1.0,0.979625,0.01075,0.009625,25.93375955654689,0.131544935787968,,0.6015,0.3575,0.041,62.93870884638493,0.042663829117887006,,0.8335,0.11775,0.04875,132.06888914608362,4.579669976578771e-16,,0.509,0.438875,0.052125,,,,,,,,,,,,,,,,,,,,,,,,,124.15031815343566,0.6797691632728551,,0.238,0.7075,0.0545,119.59146495576046,3.715088537777034,,0.423625,0.542625,0.03375,123.20469085558484,2.220446049250313e-16,,0.442625,0.510375,0.047,84.97194408271758,0.6687148025052541,,0.425,0.51825,0.05675
8,76.76606866569423,0.15723826966519602,,0.97275,0.01025,0.017,26.14396645145991,4.163336342344337e-17,,0.614125,0.337875,0.048,63.92820880427878,0.0,,0.84275,0.122875,0.034375,148.89710265902943,0.0,,0.497625,0.468875,0.0335,,,,,,,,,,,,,,,,,,,,,,,,,127.83687727210167,0.009887952526763001,,0.209875,0.7445,0.045625,122.37947797080554,1.6653345369377338e-16,,0.403125,0.572875,0.024,132.78088560640066,0.5510193290419491,,0.419125,0.5235,0.057375,96.26319004383772,0.0,,0.415625,0.554125,0.03025
9,77.53904786836371,0.149576794088967,,0.960375,0.0105,0.029125,46.1653413073035,0.0,,0.621625,0.334625,0.04375,71.65754562966738,2.775557561562891e-17,,0.859375,0.116375,0.02425,149.3957363167314,0.0,,0.444,0.530625,0.025375,,,,,,,,,,,,,,,,,,,,,,,,,131.9892980498665,0.0049794704904740006,,0.19625,0.75975,0.044,126.46438371372088,0.002435218041253,,0.383125,0.6005,0.016375,137.14586394696218,5.551115123125783e-17,,0.40075,0.569,0.03025,98.2436903321825,1.110223024625156e-16,,0.413,0.546375,0.040625
