,noFear_noChat_avg_fitness,noFear_noChat_cat_avg_fitness,noFear_noChat_count,noFear_noChat_keep,noFear_noChat_give,noFear_noChat_steal,noFear_chat_avg_fitness,noFear_chat_cat_avg_fitness,noFear_chat_count,noFear_chat_keep,noFear_chat_give,noFear_chat_steal,fear_noChat_avg_fitness,fear_noChat_cat_avg_fitness,fear_noChat_count,fear_noChat_keep,fear_noChat_give,fear_noChat_steal,fear_chat_avg_fitness,fear_chat_cat_avg_fitness,fear_chat_count,fear_chat_keep,fear_chat_give,fear_chat_steal,homogeneous_noFear_noChat_avg_fitness,homogeneous_noFear_noChat_cat_avg_fitness,homogeneous_noFear_noChat_count,homogeneous_noFear_noChat_keep,homogeneous_noFear_noChat_give,homogeneous_noFear_noChat_steal,homogeneous_noFear_chat_avg_fitness,homogeneous_noFear_chat_cat_avg_fitness,homogeneous_noFear_chat_count,homogeneous_noFear_chat_keep,homogeneous_noFear_chat_give,homogeneous_noFear_chat_steal,homogeneous_fear_noChat_avg_fitness,homogeneous_fear_noChat_cat_avg_fitness,homogeneous_fear_noChat_count,homogeneous_fear_noChat_keep,homogeneous_fear_noChat_give,homogeneous_fear_noChat_steal,homogeneous_fear_chat_avg_fitness,homogeneous_fear_chat_cat_avg_fitness,homogeneous_fear_chat_count,homogeneous_fear_chat_keep,homogeneous_fear_chat_give,homogeneous_fear_chat_steal,mixed_noFear_noChat_avg_fitness,mixed_noFear_noChat_cat_avg_fitness,mixed_noFear_noChat_count,mixed_noFear_noChat_keep,mixed_noFear_noChat_give,mixed_noFear_noChat_steal,mixed_noFear_chat_avg_fitness,mixed_noFear_chat_cat_avg_fitness,mixed_noFear_chat_count,mixed_noFear_chat_keep,mixed_noFear_chat_give,mixed_noFear_chat_steal,mixed_fear_noChat_avg_fitness,mixed_fear_noChat_cat_avg_fitness,mixed_fear_noChat_count,mixed_fear_noChat_keep,mixed_fear_noChat_give,mixed_fear_noChat_steal,mixed_fear_chat_avg_fitness,mixed_fear_chat_cat_avg_fitness,mixed_fear_chat_count,mixed_fear_chat_keep,mixed_fear_chat_give,mixed_fear_chat_steal
115,74.1902910001848,0.054530784003655006,,,,,129.9214124250937,5.551115123125783e-17,,,,,78.67227790762826,0.0,,,,,82.99967810355668,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,74.84634762146737,1.387778780781445e-16,,,,,133.7776899763643,0.033607443258131,,,,,79.4658457247604,4.579669976578771e-16,,,,,83.26215486295806,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,76.09025185627571,0.0038260344440910004,,,,,134.79526048205983,1.110223024625156e-16,,,,,80.30046703754493,0.0,,,,,83.4413682370038,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,77.85390749586077,4.163336342344337e-17,,,,,135.9414541322315,1.110223024625156e-16,,,,,82.91275957814554,8.326672684688674e-17,,,,,83.55812929420323,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,78.05978932676521,0.0,,,,,140.6196023485798,0.0,,,,,83.1151497161305,4.163336342344337e-17,,,,,83.94877113747705,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,78.37900584228846,0.278117014941481,,,,,140.67835697601456,0.0,,,,,83.67366670074392,0.8346106631421131,,,,,84.18613594863639,0.08417953618861901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,79.90765176745828,0.32302619345008,,,,,142.24629247513667,0.0,,,,,84.06113469739986,0.8997102734333331,,,,,84.51145265391577,0.11448522057326001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,80.81203436963627,0.0,,,,,142.3158990851778,0.008053198846843001,,,,,85.16149994064465,2.775557561562891e-17,,,,,84.70097798444473,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,81.80648557386317,0.0,,,,,144.1178281490205,0.0,,,,,85.2137720231289,5.551115123125783e-17,,,,,85.09978851514545,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,81.84238277142235,0.0,,,,,146.17974829802935,2.775557561562891e-17,,,,,85.21456727574733,4.163336342344337e-17,,,,,85.38216474065544,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,83.36666450156561,0.0,,,,,148.3525701149352,0.050582917058145,,,,,85.55712868197047,1.387778780781445e-16,,,,,85.38650042812964,5.551115123125783e-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
