,noFear_noChat_avg_fitness,noFear_noChat_cat_avg_fitness,noFear_noChat_hCAB_avg_fitness,noFear_noChat_count,noFear_noChat_keep,noFear_noChat_give,noFear_noChat_steal,noFear_chat_avg_fitness,noFear_chat_cat_avg_fitness,noFear_chat_hCAB_avg_fitness,noFear_chat_count,noFear_chat_keep,noFear_chat_give,noFear_chat_steal,fear_noChat_avg_fitness,fear_noChat_cat_avg_fitness,fear_noChat_hCAB_avg_fitness,fear_noChat_count,fear_noChat_keep,fear_noChat_give,fear_noChat_steal,fear_chat_avg_fitness,fear_chat_cat_avg_fitness,fear_chat_hCAB_avg_fitness,fear_chat_count,fear_chat_keep,fear_chat_give,fear_chat_steal,homogeneous_noFear_noChat_avg_fitness,homogeneous_noFear_noChat_cat_avg_fitness,homogeneous_noFear_noChat_hCAB_avg_fitness,homogeneous_noFear_noChat_count,homogeneous_noFear_noChat_keep,homogeneous_noFear_noChat_give,homogeneous_noFear_noChat_steal,homogeneous_noFear_chat_avg_fitness,homogeneous_noFear_chat_cat_avg_fitness,homogeneous_noFear_chat_hCAB_avg_fitness,homogeneous_noFear_chat_count,homogeneous_noFear_chat_keep,homogeneous_noFear_chat_give,homogeneous_noFear_chat_steal,homogeneous_fear_noChat_avg_fitness,homogeneous_fear_noChat_cat_avg_fitness,homogeneous_fear_noChat_hCAB_avg_fitness,homogeneous_fear_noChat_count,homogeneous_fear_noChat_keep,homogeneous_fear_noChat_give,homogeneous_fear_noChat_steal,homogeneous_fear_chat_avg_fitness,homogeneous_fear_chat_cat_avg_fitness,homogeneous_fear_chat_hCAB_avg_fitness,homogeneous_fear_chat_count,homogeneous_fear_chat_keep,homogeneous_fear_chat_give,homogeneous_fear_chat_steal,mixed_noFear_noChat_avg_fitness,mixed_noFear_noChat_cat_avg_fitness,mixed_noFear_noChat_hCAB_avg_fitness,mixed_noFear_noChat_count,mixed_noFear_noChat_keep,mixed_noFear_noChat_give,mixed_noFear_noChat_steal,mixed_noFear_chat_avg_fitness,mixed_noFear_chat_cat_avg_fitness,mixed_noFear_chat_hCAB_avg_fitness,mixed_noFear_chat_count,mixed_noFear_chat_keep,mixed_noFear_chat_give,mixed_noFear_chat_steal,mixed_fear_noChat_avg_fitness,mixed_fear_noChat_cat_avg_fitness,mixed_fear_noChat_hCAB_avg_fitness,mixed_fear_noChat_count,mixed_fear_noChat_keep,mixed_fear_noChat_give,mixed_fear_noChat_steal,mixed_fear_chat_avg_fitness,mixed_fear_chat_cat_avg_fitness,mixed_fear_chat_hCAB_avg_fitness,mixed_fear_chat_count,mixed_fear_chat_keep,mixed_fear_chat_give,mixed_fear_chat_steal
0,7.510240064131989,1.387778780781445e-17,,1.0,0.831375,0.168625,-0.0,,,,,,,,3.6136018997474553,0.0,,1.0,0.752125,0.247875,-0.0,,,,,,,,10.24103480333314,5.551115123125783e-17,,1.0,0.20575,0.79425,-0.0,,,,,,,,,,,,,,,,,,,,,,11.788656385377587,4.454769886308441e-15,,1.0,0.51025,0.48975,-0.0,22.312356429220124,0.0,,1.0,0.701875,0.298125,-0.0,9.996356589601731,1.387778780781445e-17,,1.0,0.489875,0.510125,-0.0,12.24853463520148,1.387778780781445e-17,,1.0,0.339,0.661,-0.0
1,29.30590934241756,0.0,,,0.815,0.185,-0.0,,,,,,,,6.939963560897261,1.110223024625156e-16,,,0.737125,0.262875,-0.0,,,,,,,,10.270250319672686,0.0014096059985580001,,1.0,0.13175,0.86825,-0.0,,,,,,,,,,,,,,,,,,,,,,13.736220393429337,3.13915560212763e-14,,1.0,0.185,0.815,-0.0,63.83135472288773,0.0,,1.0,0.379,0.621,-0.0,20.51199580025194,5.551115123125783e-17,,1.0,0.31325,0.68675,-0.0,20.16286328997024,0.0,,1.0,0.128875,0.86375,0.007375
2,38.24803256639139,0.0,,,0.8355,0.1575,0.007,,,,,,,,7.211084382943172,0.0,,,0.778375,0.21525,0.006375,,,,,,,,10.47812720440056,0.009120650675126001,,1.0,0.25725,0.3635,0.37925,,,,,,,,,,,,,,,,,,,,,,65.89275471807127,91.7849631833619,,1.0,0.312375,0.458625,0.229,68.74412911974751,9.8083207596e-05,,1.0,0.49975,0.358875,0.141375,51.178236597912765,0.189635034687541,,1.0,0.368875,0.405875,0.22525,85.41971553681826,0.0,,1.0,0.3435,0.37075,0.28575
3,42.77349876509732,0.0,,,0.822625,0.15925,0.018125,,,,,,,,16.254874117557343,0.0,,,0.736125,0.234875,0.029,,,,,,,,11.075454923242892,3.330669073875469e-16,,1.0,0.290125,0.453125,0.25675,,,,,,,,,,,,,,,,,,,,,,68.15482644974787,78.29933878683642,,1.0,0.347875,0.4525,0.199625,74.78952315376131,4.586258813021957,,1.0,0.472875,0.4355,0.091625,63.49485775774201,0.396901255450956,,1.0,0.381,0.428375,0.190625,88.89442091746635,5.551115123125783e-17,,1.0,0.371,0.411875,0.217125
4,52.31219927799432,0.0,,,0.814125,0.162625,0.02325,,,,,,,,21.799501840855985,2.775557561562891e-17,,,0.708625,0.236625,0.05475,,,,,,,,11.832907667848747,0.0,,1.0,0.323375,0.583375,0.09325,,,,,,,,,,,,,,,,,,,,,,85.56434970840843,8.187894806610529e-16,,1.0,0.34825,0.535625,0.116125,81.21166974269474,0.0,,1.0,0.466625,0.4245,0.108875,65.66374041842515,0.328281879304306,,1.0,0.37575,0.51,0.11425,89.83878369143648,0.0,,1.0,0.376,0.49825,0.12575
5,52.4146683520862,0.0,,,0.818625,0.151125,0.03025,,,,,,,,23.393933010949453,0.0,,,0.720125,0.23575,0.044125,,,,,,,,12.6736523656098,8.326672684688674e-17,,1.0,0.308,0.635,0.057,,,,,,,,,,,,,,,,,,,,,,94.10666961095484,2.225997164373439e-14,,1.0,0.32625,0.61575,0.058,94.20944973962024,0.0,,1.0,0.460875,0.471625,0.0675,75.90085274185274,0.6745918256683601,,1.0,0.368625,0.53325,0.098125,95.89281893120192,0.01621626647135,,1.0,0.35575,0.548375,0.095875
6,53.11841028897698,3.885780586188048e-16,,,0.812625,0.157125,0.03025,,,,,,,,32.51261969062104,0.0,,,0.702375,0.24425,0.053375,,,,,,,,13.970145234167775,73.97003733882812,,1.0,0.275875,0.656,0.068125,,,,,,,,,,,,,,,,,,,,,,95.40312101800951,5.551115123125783e-17,,1.0,0.262125,0.695375,0.0425,103.13934315817676,1.6653345369377338e-16,,1.0,0.48575,0.455375,0.058875,84.79203279740805,0.0,,1.0,0.368,0.568,0.064,96.13565348745726,0.35789925904491304,,1.0,0.316875,0.618875,0.06425
7,62.46758340525753,0.001168761773327,,,0.8,0.145625,0.054375,,,,,,,,34.765976778496025,0.0,,,0.703875,0.248125,0.048,,,,,,,,14.015207620961332,73.97003733882812,,,0.256,0.70175,0.04225,,,,,,,,,,,,,,,,,,,,,,101.67915051681798,2.220446049250313e-16,,1.0,0.23725,0.734375,0.028375,107.32210003947708,0.607572914260968,,1.0,0.479875,0.476,0.044125,97.06835119692424,1.387778780781445e-17,,1.0,0.3615,0.59275,0.04575,104.7317051624617,4.685687708990833,,,0.27225,0.6635,0.06425
8,64.83242257592711,2.220446049250313e-16,,,0.80125,0.144625,0.054125,,,,,,,,36.63943264044877,0.0,,,0.713625,0.215625,0.07075,,,,,,,,15.827110133367912,4.564369468862234,,,0.2485,0.713,0.0385,,,,,,,,,,,,,,,,,,,,,,123.96231296964004,0.043128045935749,,1.0,0.2205,0.757,0.0225,109.0915962264394,0.0415415350646,,,0.467,0.491,0.042,110.998055632453,0.17497612038031501,,1.0,0.348375,0.6225,0.029125,112.03894536808164,0.013575909347507001,,,0.23475,0.718,0.04725
9,65.16958709283152,0.0,,,0.781125,0.157,0.061875,,,,,,,,38.4504759978992,0.0,,,0.705,0.229125,0.065875,,,,,,,,59.33283781726687,4.680487481378178,,,0.263375,0.701875,0.03475,,,,,,,,,,,,,,,,,,,,,,125.21750225643714,1.942890293094024e-16,,,0.22275,0.75275,0.0245,114.5412083743398,0.027131764196831002,,,0.44475,0.501875,0.053375,119.7795743164778,0.039197573307292004,,,0.3395,0.63425,0.02625,118.02128003398664,0.0,,,0.22,0.725875,0.054125
